Időpont;Letöltés;Letöltés %;Feltöltés;Feltöltés %;Válaszidő;Csomagvesztés
2023.05.01 1:30;853.92 Mbps;85%;331.89 Mbps;111%;2 msec.;1
2023.05.01 2:30;849.61 Mbps;85%;331.97 Mbps;111%;2 msec.;1
2023.05.01 3:30;860.35 Mbps;86%;331.63 Mbps;111%;2 msec.;1
2023.05.01 4:30;863.12 Mbps;86%;331.48 Mbps;110%;2 msec.;1
2023.05.01 5:30;852.21 Mbps;85%;331.36 Mbps;110%;2 msec.;1
2023.05.01 6:30;860.05 Mbps;86%;331.96 Mbps;111%;2 msec.;1
2023.05.01 7:30;850.64 Mbps;85%;331.53 Mbps;111%;2 msec.;1
2023.05.01 8:30;862.06 Mbps;86%;331.48 Mbps;110%;2 msec.;1
2023.05.01 9:30;853.18 Mbps;85%;331.03 Mbps;110%;2 msec.;1
2023.05.01 10:30;848.09 Mbps;85%;331.51 Mbps;111%;2 msec.;1
2023.05.01 11:30;845.35 Mbps;85%;331.59 Mbps;111%;2 msec.;1
2023.05.01 12:30;855.52 Mbps;86%;330.96 Mbps;110%;2 msec.;1
2023.05.01 13:30;859.50 Mbps;86%;330.95 Mbps;110%;2 msec.;1
2023.05.01 14:30;854.34 Mbps;85%;331.63 Mbps;111%;2 msec.;1
2023.05.01 15:30;859.25 Mbps;86%;331.55 Mbps;111%;2 msec.;1
2023.05.01 16:30;859.40 Mbps;86%;331.32 Mbps;110%;2 msec.;1
2023.05.01 17:30;850.70 Mbps;85%;330.89 Mbps;110%;2 msec.;1
2023.05.01 18:30;853.11 Mbps;85%;330.29 Mbps;110%;2 msec.;1
2023.05.01 19:30;849.36 Mbps;85%;329.96 Mbps;110%;2 msec.;1
2023.05.01 20:30;858.21 Mbps;86%;328.72 Mbps;110%;2 msec.;1
2023.05.01 21:30;856.01 Mbps;86%;330.24 Mbps;110%;2 msec.;1
2023.05.01 22:30;850.75 Mbps;85%;330.98 Mbps;110%;2 msec.;1
2023.05.01 23:30;854.05 Mbps;85%;331.42 Mbps;110%;2 msec.;1
2023.05.02 0:30;865.74 Mbps;87%;331.57 Mbps;111%;2 msec.;1
2023.05.02 1:30;854.41 Mbps;85%;331.22 Mbps;110%;2 msec.;1
2023.05.02 2:30;849.93 Mbps;85%;331.56 Mbps;111%;2 msec.;1
2023.05.02 3:30;848.97 Mbps;85%;331.83 Mbps;111%;2 msec.;1
2023.05.02 4:30;849.71 Mbps;85%;331.93 Mbps;111%;2 msec.;1
2023.05.02 5:30;856.15 Mbps;86%;331.72 Mbps;111%;2 msec.;1
2023.05.02 6:30;837.40 Mbps;84%;331.48 Mbps;110%;2 msec.;1
2023.05.02 7:30;856.25 Mbps;86%;331.62 Mbps;111%;3 msec.;1
2023.05.02 8:30;846.58 Mbps;85%;331.83 Mbps;111%;2 msec.;1
2023.05.02 9:30;833.89 Mbps;83%;331.88 Mbps;111%;2 msec.;1
2023.05.02 10:30;843.43 Mbps;84%;331.41 Mbps;110%;2 msec.;1
2023.05.02 11:30;861.13 Mbps;86%;331.73 Mbps;111%;2 msec.;1
2023.05.02 12:30;864.13 Mbps;86%;331.62 Mbps;111%;2 msec.;1
2023.05.02 13:30;856.36 Mbps;86%;331.59 Mbps;111%;2 msec.;1
2023.05.02 14:30;800.44 Mbps;80%;331.57 Mbps;111%;2 msec.;1
2023.05.02 15:30;780.09 Mbps;78%;331.37 Mbps;110%;2 msec.;1
2023.05.02 16:30;808.30 Mbps;81%;331.23 Mbps;110%;2 msec.;1
2023.05.02 17:30;787.30 Mbps;79%;331.50 Mbps;111%;2 msec.;1
2023.05.02 18:30;778.97 Mbps;78%;331.37 Mbps;110%;2 msec.;1
2023.05.02 19:30;790.15 Mbps;79%;331.42 Mbps;110%;2 msec.;1
2023.05.02 20:30;801.54 Mbps;80%;331.50 Mbps;111%;2 msec.;1
2023.05.02 21:30;811.82 Mbps;81%;331.42 Mbps;110%;2 msec.;1
2023.05.02 22:30;811.37 Mbps;81%;331.42 Mbps;110%;2 msec.;1
2023.05.02 23:30;786.62 Mbps;79%;331.41 Mbps;110%;2 msec.;1
2023.05.03 0:30;787.04 Mbps;79%;331.76 Mbps;111%;2 msec.;1
2023.05.03 1:30;792.19 Mbps;79%;331.63 Mbps;111%;2 msec.;1
2023.05.03 2:30;787.64 Mbps;79%;331.60 Mbps;111%;2 msec.;1
2023.05.03 3:30;795.45 Mbps;80%;331.64 Mbps;111%;2 msec.;1
2023.05.03 4:30;793.07 Mbps;79%;331.92 Mbps;111%;2 msec.;1
2023.05.03 5:30;798.74 Mbps;80%;331.59 Mbps;111%;2 msec.;1
2023.05.03 6:32;800.30 Mbps;80%;331.47 Mbps;110%;2 msec.;1
